Country.Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|ActiveCases|Serious.Critical|Tot.Cases.1M.pop|Tot.Deaths.1M.pop|Sys Date|Last updated
71|Lithuania|154|11|1|NA|1|152|1|57||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
72|UAE|153|NA|2|NA|38|113|2|15||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
73|North Macedonia|136|21|2|1|1|133|1|65||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
74|Morocco|134|19|4|NA|3|127|1|4||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
75|Costa Rica|134|NA|2|NA|2|130|2|26||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
76|Bosnia and Herzegovina|128|2|1|NA|2|125|1|39||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
77|Vietnam|121|8|NA|NA|17|104|2|1||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
78|Faeroe Islands|118|3|NA|NA|14|104|NA|2415||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
79|Andorra|113|NA|1|NA|1|111|2|1462||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
80|Jordan|112|NA|NA|NA|1|111|NA|11||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
81|Malta|107|17|NA|NA|2|105|1|242||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
82|New Zealand|102|NA|NA|NA|NA|102|NA|21||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
83|Burkina Faso|99|24|4|NA|5|90|NA|5||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
84|Cyprus|95|NA|1|NA|3|91|3|79||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
85|Moldova|94|NA|1|NA|2|91|3|23||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
86|Brunei|91|3|NA|NA|2|89|2|208||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
87|Albania|89|NA|4|2|2|83|2|31||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
88|Tunisia|89|14|3|NA|1|85|11|8||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
89|Sri Lanka|87|5|NA|NA|3|84|2|4||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
90|Cambodia|86|2|NA|NA|2|84|1|5||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
91|Belarus|81|5|NA|NA|22|59|NA|9||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
92|Venezuela|77|7|NA|NA|15|62|2|3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
93|Ukraine|73|NA|3|NA|1|69|NA|2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
94|Senegal|67|NA|NA|NA|5|62|NA|4||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
95|Oman|66|11|NA|NA|17|49|NA|13||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
96|Azerbaijan|65|NA|1|NA|11|53|NA|6||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
97|Réunion|64|NA|NA|NA|1|63|NA|71||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
98|Kazakhstan|62|2|NA|NA|NA|62|NA|3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
99|Palestine|59|NA|NA|NA|17|42|NA|12||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
100|Guadeloupe|58|NA|1|NA|NA|57|4|145||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
101|Cameroon|56|16|NA|NA|2|54|NA|2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
102|Georgia|54|NA|NA|NA|8|46|1|14||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
103|Trinidad and Tobago|50|NA|NA|NA|NA|50|NA|36||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
104|Liechtenstein|46|9|NA|NA|NA|46|NA|1206||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
105|Uzbekistan|46|3|NA|NA|NA|46|NA|1||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
106|Martinique|44|NA|1|NA|NA|43|7|117||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
107|Afghanistan|40|NA|1|NA|1|38|NA|1||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
108|Nigeria|36|6|1|1|2|33|NA|0.2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
109|Cuba|35|NA|1|NA|NA|34|NA|3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
110|Channel Islands|35|3|NA|NA|NA|35|NA|201||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
111|Bangladesh|33|6|3|1|5|25|NA|0.2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
112|Puerto Rico|31|8|2|1|NA|29|NA|11||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
113|DRC|30|NA|1|NA|NA|29|NA|0.3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
114|Guam|29|2|1|NA|NA|28|NA|172||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
115|Mauritius|28|NA|2|NA|NA|26|1|22||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
116|Bolivia|27|3|NA|NA|NA|27|NA|2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
117|Honduras|27|1|NA|NA|NA|27|NA|3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
118|Ivory Coast|25|11|NA|NA|2|23|NA|0.9||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
119|Ghana|24|1|1|NA|NA|23|NA|0.8||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
120|Macao|24|2|NA|NA|10|14|NA|37||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
121|Monaco|23|NA|NA|NA|1|22|NA|586||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
122|Montenegro|22|1|1|1|NA|21|NA|35||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
123|Paraguay|22|NA|1|NA|NA|21|1|3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
124|Mayotte|21|10|NA|NA|NA|21|NA|77||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
125|Guatemala|19|NA|1|NA|NA|18|NA|1||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
126|Guyana|19|NA|1|NA|NA|18|NA|24||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
127|Jamaica|19|NA|1|NA|2|16|NA|6||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
128|Rwanda|19|NA|NA|NA|NA|19|NA|1||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
129|French Guiana|18|NA|NA|NA|NA|18|NA|60||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
130|French Polynesia|18|NA|NA|NA|NA|18|NA|64||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
131|Togo|18|2|NA|NA|NA|18|NA|2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
132|Barbados|17|3|NA|NA|NA|17|NA|59||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
133|Gibraltar|15|NA|NA|NA|2|13|NA|445||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
134|Kenya|15|NA|NA|NA|NA|15|NA|0.3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
135|Kyrgyzstan|14|NA|NA|NA|NA|14|NA|2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
136|Maldives|13|NA|NA|NA|5|8|NA|24||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
137|Madagascar|12|9|NA|NA|NA|12|NA|0.4||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
138|Tanzania|12|NA|NA|NA|NA|12|NA|0.2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
139|Ethiopia|11|NA|NA|NA|NA|11|NA|0.1||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
140|Mongolia|10|NA|NA|NA|NA|10|NA|3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
141|Aruba|9|NA|NA|NA|1|8|NA|84||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
142|New Caledonia|8|4|NA|NA|NA|8|NA|28||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
143|Seychelles|7|NA|NA|NA|NA|7|NA|71||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
144|Bermuda|6|NA|NA|NA|NA|6|NA|96||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
145|Equatorial Guinea|6|NA|NA|NA|NA|6|NA|4||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
146|U.S. Virgin Islands|6|NA|NA|NA|NA|6|NA|57||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
147|Gabon|5|NA|1|NA|NA|4|NA|2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
148|Haiti|5|3|NA|NA|NA|5|NA|0.4||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
149|Isle of Man|5|NA|NA|NA|NA|5|NA|59||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
150|Saint Martin|5|NA|NA|NA|NA|5|NA|129||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
151|Suriname|5|NA|NA|NA|NA|5|NA|9||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
152|Bahamas|4|NA|NA|NA|NA|4|NA|10||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
153|Greenland|4|NA|NA|NA|NA|4|NA|70||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
154|Guinea|4|2|NA|NA|NA|4|NA|0.3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
155|Eswatini|4|NA|NA|NA|NA|4|NA|3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
156|Cayman Islands|3|NA|1|NA|NA|2|NA|46||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
157|Curaçao|3|NA|1|NA|NA|2|NA|18||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
158|Cabo Verde|3|NA|NA|NA|NA|3|NA|5||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
159|CAR|3|NA|NA|NA|NA|3|NA|0.6||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
160|Congo|3|NA|NA|NA|NA|3|NA|0.5||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
161|El Salvador|3|NA|NA|NA|NA|3|NA|0.5||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
162|Fiji|3|1|NA|NA|NA|3|NA|3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
163|Liberia|3|NA|NA|NA|NA|3|NA|0.6||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
164|Namibia|3|NA|NA|NA|NA|3|NA|1||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
165|St. Barth|3|NA|NA|NA|NA|3|NA|304||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
166|Zambia|3|NA|NA|NA|NA|3|NA|0.2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
167|Zimbabwe|3|NA|NA|NA|NA|3|NA|0.2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
168|Gambia|2|1|1|1|NA|1|NA|0.8||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
169|Sudan|2|NA|1|NA|NA|1|NA|0.05||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
170|Nepal|2|1|NA|NA|1|1|NA|0.07||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
171|Angola|2|NA|NA|NA|NA|2|NA|0.06||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
172|Benin|2|NA|NA|NA|NA|2|NA|0.2||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
173|Bhutan|2|NA|NA|NA|NA|2|NA|3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
174|Mauritania|2|NA|NA|NA|NA|2|NA|0.4||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
175|Nicaragua|2|NA|NA|NA|NA|2|NA|0.3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
176|Niger|2|NA|NA|NA|NA|2|NA|0.08||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
177|Saint Lucia|2|NA|NA|NA|NA|2|NA|11||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
178|Antigua and Barbuda|1|NA|NA|NA|NA|1|NA|10||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
179|Chad|1|NA|NA|NA|NA|1|NA|0.06||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
180|Djibouti|1|NA|NA|NA|NA|1|NA|1||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
181|Dominica|1|NA|NA|NA|NA|1|NA|14||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
182|Eritrea|1|NA|NA|NA|NA|1|NA|0.3||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
183|Grenada|1|NA|NA|NA|NA|1|NA|9||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
184|Vatican City|1|NA|NA|NA|NA|1|NA|1248||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
185|Montserrat|1|NA|NA|NA|NA|1|NA|200||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
186|Mozambique|1|NA|NA|NA|NA|1|NA|0.03||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
187|Papua New Guinea|1|NA|NA|NA|NA|1|NA|0.1||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
188|St. Vincent Grenadines|1|NA|NA|NA|NA|1|NA|9||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
189|Sint Maarten|1|NA|NA|NA|NA|1|NA|23||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
190|Somalia|1|NA|NA|NA|NA|1|NA|0.06||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
191|Syria|1|NA|NA|NA|NA|1|NA|0.06||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
192|Timor-Leste|1|NA|NA|NA|NA|1|NA|0.8||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
193|Uganda|1|NA|NA|NA|NA|1|NA|0.02||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
194|Total:|350457|13027|15315|677|100354|234788|11222|45||2020-03-23 08:15:29|March 23, 2020, 12:14 GMT
1|China|81171|78|3277|7|73159|4735|1573|56||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
2|Italy|63927|4789|6077|601|7432|50418|3204|1057||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
3|USA|43734|10168|553|140|295|42886|1040|132||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
4|Spain|35136|6368|2311|539|3355|29470|2355|751||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
5|Germany|29056|4183|123|29|453|28480|23|347||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
6|Iran|23049|1411|1812|127|8376|12861|NA|274||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
7|France|19856|3838|860|186|2200|16796|2082|304||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
8|S. Korea|8961|64|111|7|3166|5684|59|175||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
9|Switzerland|8795|1321|120|22|131|8544|141|1016||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
10|UK|6650|967|335|54|135|6180|20|98||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
11|Netherlands|4749|545|213|34|2|4534|435|277||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
12|Austria|4474|892|21|5|9|4444|14|497||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
13|Belgium|3743|342|88|13|401|3254|322|323||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
14|Norway|2625|240|10|3|6|2609|41|484||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
15|Canada|2091|621|24|4|320|1747|1|55||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
16|Portugal|2060|460|23|9|14|2023|47|202||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
17|Sweden|2046|112|27|6|16|2003|104|203||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
18|Brazil|1924|378|34|9|2|1888|18|9||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
19|Australia|1887|278|7|NA|118|1762|11|74||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
20|Turkey|1529|293|37|7|NA|1492|NA|18||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
21|Malaysia|1518|212|14|4|159|1345|57|47||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
22|Denmark|1450|55|24|11|1|1425|55|250||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
23|Israel|1442|371|1|NA|41|1400|29|167||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
24|Czechia|1236|116|1|NA|7|1228|19|115||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
25|Japan|1128|27|42|1|235|851|49|9||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
26|Ireland|1125|219|6|2|5|1114|29|228||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
27|Ecuador|981|192|18|4|3|960|2|56||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
28|Luxembourg|875|77|8|NA|6|861|3|1398||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
29|Pakistan|875|99|6|1|13|856|NA|4||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
30|Poland|749|115|8|1|13|728|3|20||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
31|Chile|746|114|2|1|11|733|7|39||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
32|Thailand|721|122|1|NA|52|668|7|10||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
33|Diamond Princess|712|NA|8|NA|567|137|15|NA||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
34|Finland|700|74|1|NA|10|689|13|126||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
35|Greece|695|71|17|2|29|649|35|67||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
36|Iceland|588|20|1|NA|51|536|14|1723||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
37|Indonesia|579|65|49|1|30|500|NA|2||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
38|Romania|576|143|7|4|73|496|15|30||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
39|Saudi Arabia|562|51|NA|NA|19|543|NA|16||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
40|Singapore|509|54|2|NA|152|355|14|87||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
41|Qatar|501|7|NA|NA|33|468|6|174||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
42|India|499|103|10|3|34|455|NA|0.4||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
43|Philippines|462|82|33|8|18|411|1|4||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
44|Slovenia|442|28|3|1|NA|439|12|213||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
45|Russia|438|71|1|NA|17|420|NA|3||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
46|South Africa|402|128|NA|NA|4|398|NA|7||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
47|Peru|395|32|5|NA|1|389|19|12||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
48|Bahrain|377|43|2|NA|164|211|3|222||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
49|Egypt|366|39|19|5|68|279|NA|4||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
50|Hong Kong|356|38|4|NA|100|252|4|47||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
51|Estonia|352|26|NA|NA|4|348|4|265||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
52|Panama|345|32|6|3|1|338|33|80||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
53|Mexico|316|65|3|1|4|309|1|2||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
54|Croatia|315|61|1|NA|5|309|5|77||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
55|Argentina|301|35|4|NA|51|246|NA|7||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
56|Colombia|277|46|3|1|3|271|NA|5||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
57|Lebanon|267|19|4|NA|8|255|4|39||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
58|Iraq|266|33|23|3|62|181|NA|7||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
59|Serbia|249|27|3|1|3|243|12|28||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
60|Dominican Republic|245|43|3|NA|3|239|NA|23||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
61|Armenia|235|41|NA|NA|2|233|6|79||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
62|Algeria|230|29|17|NA|65|148|NA|5||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
63|Bulgaria|201|14|3|NA|3|195|8|29||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
64|UAE|198|45|2|NA|41|155|2|20||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
65|Taiwan|195|26|2|NA|28|165|NA|8||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
66|Kuwait|189|1|NA|NA|30|159|5|44||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
67|San Marino|187|12|20|NA|4|163|13|5511||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
68|Slovakia|186|1|NA|NA|7|179|2|34||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
69|Latvia|180|41|NA|NA|1|179|NA|95||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
70|Lithuania|179|36|1|NA|1|177|1|66||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
71|Hungary|167|36|7|1|16|144|6|17||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
72|Uruguay|162|4|NA|NA|NA|162|3|47||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
73|Costa Rica|158|24|2|NA|2|154|2|31||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
74|Morocco|143|28|4|NA|5|134|1|4||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
75|North Macedonia|136|21|2|1|1|133|1|65||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
76|Bosnia and Herzegovina|136|10|1|NA|2|133|1|41||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
77|Andorra|133|20|1|NA|1|131|2|1721||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
78|Jordan|127|15|NA|NA|1|126|NA|12||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
79|Vietnam|123|10|NA|NA|17|106|2|1||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
80|Faeroe Islands|118|3|NA|NA|23|95|NA|2415||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
81|Cyprus|116|21|1|NA|3|112|3|96||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
82|Moldova|109|15|1|NA|2|106|3|27||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
83|Malta|107|17|NA|NA|2|105|1|242||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
84|Albania|104|15|4|2|2|98|2|36||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
85|New Zealand|102|NA|NA|NA|NA|102|NA|21||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
86|Burkina Faso|99|24|4|NA|5|90|NA|5||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
87|Sri Lanka|97|15|NA|NA|2|95|2|5||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
88|Brunei|91|3|NA|NA|2|89|2|208||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
89|Tunisia|89|14|3|NA|1|85|11|8||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
90|Cambodia|87|3|NA|NA|2|85|1|5||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
91|Venezuela|84|14|NA|NA|15|69|2|3||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
92|Belarus|81|5|NA|NA|22|59|NA|9||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
93|Senegal|79|12|NA|NA|8|71|NA|5||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
94|Ukraine|73|NA|3|NA|1|69|NA|2||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
95|Azerbaijan|72|7|1|NA|10|61|3|7||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
96|Réunion|71|7|NA|NA|1|70|NA|79||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
97|Oman|66|11|NA|NA|17|49|NA|13||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
98|Guadeloupe|62|4|1|NA|NA|61|4|155||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
99|Kazakhstan|62|2|NA|NA|NA|62|NA|3||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
100|Georgia|61|7|NA|NA|8|53|1|15||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
101|Palestine|59|NA|NA|NA|17|42|NA|12||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
102|Cameroon|56|16|NA|NA|2|54|NA|2||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
103|Martinique|53|9|1|NA|NA|52|7|141||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
104|Liechtenstein|51|14|NA|NA|NA|51|NA|1338||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
105|Trinidad and Tobago|51|1|NA|NA|NA|51|NA|36||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
106|Uzbekistan|46|3|NA|NA|NA|46|NA|1||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
107|Afghanistan|40|NA|1|NA|1|38|NA|1||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
108|Cuba|40|5|1|NA|NA|39|3|4||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
109|Nigeria|40|10|1|1|2|37|NA|0.2||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
110|Mauritius|36|8|2|NA|NA|34|1|28||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
111|DRC|36|6|1|NA|NA|35|NA|0.4||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
112|Channel Islands|36|4|NA|NA|NA|36|NA|207||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
113|Rwanda|36|17|NA|NA|NA|36|NA|3||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
114|Bangladesh|33|6|3|1|5|25|NA|0.2||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
115|Puerto Rico|31|8|2|1|1|28|NA|11||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
116|Honduras|30|4|NA|NA|NA|30|NA|3||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
117|Guam|29|2|1|NA|NA|28|NA|172||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
118|Ghana|27|4|2|1|NA|25|NA|0.9||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
119|Montenegro|27|6|1|1|NA|26|NA|43||2020-03-23 21:59:06|March 24, 2020, 01:58 GMT
